Occupation title (click on the occupation title to view its profile),Annual mean wage
"Life, Physical, and Social Science Technicians","53,890"
Agricultural and Food Science Technicians,"46,240"
Agricultural Technicians,"44,850"
Food Science Technicians,"47,870"
Biological Technicians,"51,770"
Chemical Technicians,"55,040"
Environmental Science and Geoscience Technicians,"53,830"
"Environmental Science and Protection Technicians, Including Health","50,550"
"Geological Technicians, Except Hydrologic Technicians","59,080"
Hydrologic Technicians,"71,760"
Nuclear Technicians,"95,200"
Social Science Research Assistants,"56,430"
Forest and Conservation Technicians,"43,420"
"Miscellaneous Life, Physical, and Social Science Technicians","57,880"
Forensic Science Technicians,"66,850"
"Life, Physical, and Social Science Technicians, All Other","55,420"
Occupational Health and Safety Specialists and Technicians,"75,150"
Occupational Health and Safety Specialists,"78,740"
Occupational Health and Safety Technicians,"57,560"
Community and Social Service Occupations,"53,960"
"Counselors, Social Workers, and Other Community and Social Service Specialists","53,950"
Counselors,"56,410"
"Educational, Guidance, and Career Counselors and Advisors","63,090"
Marriage and Family Therapists,"59,660"
Rehabilitation Counselors,"44,740"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","53,490"
"Counselors, All Other","49,730"
Social Workers,"57,880"
"Child, Family, and School Social Workers","54,880"
Healthcare Social Workers,"62,310"
Mental Health and Substance Abuse Social Workers,"57,800"
"Social Workers, All Other","63,010"
Miscellaneous Community and Social Service Specialists,"47,380"
Health Education Specialists,"64,930"
Probation Officers and Correctional Treatment Specialists,"63,290"
Social and Human Service Assistants,"40,460"
Community Health Workers,"47,780"
"Community and Social Service Specialists, All Other","50,510"
Religious Workers,"54,340"
Clergy,"57,230"
"Directors, Religious Activities and Education","52,880"
"Religious Workers, All Other","43,290"
Legal Occupations,"113,100"
"Lawyers, Judges, and Related Workers","144,470"
Lawyers and Judicial Law Clerks,"146,220"
Lawyers,"148,030"
Judicial Law Clerks,"62,730"
"Judges, Magistrates, and Other Judicial Workers","119,690"
"Administrative Law Judges, Adjudicators, and Hearing Officers","104,160"
"Arbitrators, Mediators, and Conciliators","62,350"
"Judges, Magistrate Judges, and Magistrates","142,520"
Legal Support Workers,"59,190"
Paralegals and Legal Assistants,"58,330"
Miscellaneous Legal Support Workers,"62,170"
"Title Examiners, Abstractors, and Searchers","52,390"
"Legal Support Workers, All Other","73,000"
Educational Instruction and Library Occupations,"62,140"
Postsecondary Teachers,"95,200"
"Business Teachers, Postsecondary","105,720"
"Math and Computer Science Teachers, Postsecondary","88,730"
"Computer Science Teachers, Postsecondary","89,610"
"Mathematical Science Teachers, Postsecondary","87,980"
"Engineering and Architecture Teachers, Postsecondary","113,150"
"Architecture Teachers, Postsecondary","98,600"
"Engineering Teachers, Postsecondary","115,590"
"Life Sciences Teachers, Postsecondary","98,430"
"Agricultural Sciences Teachers, Postsecondary","97,520"
"Biological Science Teachers, Postsecondary","98,710"
"Forestry and Conservation Science Teachers, Postsecondary","93,510"
"Physical Sciences Teachers, Postsecondary","97,110"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","102,840"
"Chemistry Teachers, Postsecondary","94,060"
"Environmental Science Teachers, Postsecondary","92,210"
"Physics Teachers, Postsecondary","99,480"
"Social Sciences Teachers, Postsecondary","94,340"
"Anthropology and Archeology Teachers, Postsecondary","102,110"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","91,680"
"Economics Teachers, Postsecondary","124,090"
"Geography Teachers, Postsecondary","88,150"
"Political Science Teachers, Postsecondary","98,980"
"Psychology Teachers, Postsecondary","88,390"
"Sociology Teachers, Postsecondary","87,850"
"Social Sciences Teachers, Postsecondary, All Other","87,320"
"Health Teachers, Postsecondary","119,880"
"Health Specialties Teachers, Postsecondary","133,310"
"Nursing Instructors and Teachers, Postsecondary","82,040"
"Education and Library Science Teachers, Postsecondary","77,260"
"Education Teachers, Postsecondary","76,990"
"Library Science Teachers, Postsecondary","80,850"
"Law, Criminal Justice, and Social Work Teachers, Postsecondary","97,720"
"Criminal Justice and Law Enforcement Teachers, Postsecondary","81,730"
"Law Teachers, Postsecondary","130,820"
"Social Work Teachers, Postsecondary","77,650"
"Arts, Communications, History, and Humanities Teachers, Postsecondary","85,110"
"Art, Drama, and Music Teachers, Postsecondary","86,240"
"Communications Teachers, Postsecondary","84,580"
"English Language and Literature Teachers, Postsecondary","82,680"
"Foreign Language and Literature Teachers, Postsecondary","82,990"
"History Teachers, Postsecondary","86,460"
"Philosophy and Religion Teachers, Postsecondary","88,260"
Miscellaneous Postsecondary Teachers,"82,100"
"Family and Consumer Sciences Teachers, Postsecondary","93,230"
"Recreation and Fitness Studies Teachers, Postsecondary","79,080"
"Career/Technical Education Teachers, Postsecondary","63,130"
"Postsecondary Teachers, All Other","92,200"
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","64,870"
Preschool and Kindergarten Teachers,"43,060"
"Preschool Teachers, Except Special Education","36,460"
"Kindergarten Teachers, Except Special Education","64,490"
Elementary and Middle School Teachers,"67,030"
"Elementary School Teachers, Except Special Education","67,080"
"Middle School Teachers, Except Special and Career/Technical Education","66,880"
"Career/Technical Education Teachers, Middle School","69,410"
Secondary School Teachers,"69,490"
"Secondary School Teachers, Except Special and Career/Technical Education","69,530"
"Career/Technical Education Teachers, Secondary School","68,960"
Special Education Teachers,"68,880"
"Special Education Teachers, Preschool","71,970"
"Special Education Teachers, Kindergarten and Elementary School","67,090"
"Special Education Teachers, Middle School","68,860"
"Special Education Teachers, Secondary School","70,100"
"Special Education Teachers, All Other","71,330"
Other Teachers and Instructors,"46,490"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","60,650"
Self-Enrichment Teachers,"49,230"
"Substitute Teachers, Short-Term","38,410"
Tutors,"41,780"
"Teachers and Instructors, All Other","62,200"
"Librarians, Curators, and Archivists","55,520"
"Archivists, Curators, and Museum Technicians","58,830"
Archivists,"61,880"
Curators,"63,880"
Museum Technicians and Conservators,"52,030"
Librarians and Media Collections Specialists,"64,180"
Library Technicians,"39,070"
Other Educational Instruction and Library Occupations,"38,620"
Farm and Home Management Educators,"58,040"
Instructional Coordinators,"70,560"
Teaching Assistants,"32,640"
"Teaching Assistants, Postsecondary","41,170"
"Teaching Assistants, Except Postsecondary","31,760"
"Educational Instruction and Library Workers, All Other","49,650"
"Arts, Design, Entertainment, Sports, and Media Occupations","66,100"
Art and Design Workers,"58,910"
Artists and Related Workers,"95,330"
Art Directors,"115,430"
Craft Artists,"40,730"
"Fine Artists, Including Painters, Sculptors, and Illustrators","69,010"
Special Effects Artists and Animators,"86,220"
"Artists and Related Workers, All Other","67,240"
Designers,"53,160"
Commercial and Industrial Designers,"79,680"
Fashion Designers,"83,650"
Floral Designers,"32,100"
Graphic Designers,"59,970"
Interior Designers,"62,570"
Merchandise Displayers and Window Trimmers,"35,520"
Set and Exhibit Designers,"62,960"
"Designers, All Other","73,480"
"Entertainers and Performers, Sports and Related Workers","71,870"
"Actors, Producers, and Directors","95,360"
Actors,
Producers and Directors,"101,950"
"Athletes, Coaches, Umpires, and Related Workers","54,390"
Athletes and Sports Competitors,"116,930"
Coaches and Scouts,"50,550"
"Umpires, Referees, and Other Sports Officials","51,710"
Dancers and Choreographers,"50,280"
