Occupation title (click on the occupation title to view its profile),Annual mean wage
Insurance Claims and Policy Processing Clerks,"45,790"
"Mail Clerks and Mail Machine Operators, Except Postal Service","34,390"
"Office Clerks, General","38,990"
"Office Machine Operators, Except Computer","37,110"
Proofreaders and Copy Markers,"46,010"
Statistical Assistants,"53,420"
"Office and Administrative Support Workers, All Other","42,580"
"Farming, Fishing, and Forestry Occupations","34,730"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","54,450"
Agricultural Workers,"32,450"
Agricultural Inspectors,"47,430"
Animal Breeders,"43,270"
"Graders and Sorters, Agricultural Products","30,400"
Miscellaneous Agricultural Workers,"31,980"
Agricultural Equipment Operators,"36,280"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","31,440"
"Farmworkers, Farm, Ranch, and Aquacultural Animals","32,150"
"Agricultural Workers, All Other","37,190"
"Forest, Conservation, and Logging Workers","43,320"
Forest and Conservation Workers,"33,690"
Logging Workers,"45,000"
Fallers,"53,760"
Logging Equipment Operators,"43,960"
Log Graders and Scalers,"41,520"
"Logging Workers, All Other","45,430"
Construction and Extraction Occupations,"55,900"
First-Line Supervisors of Construction Trades and Extraction Workers,"75,060"
Construction Trades Workers,"54,140"
Boilermakers,"69,070"
"Brickmasons, Blockmasons, and Stonemasons","59,870"
Brickmasons and Blockmasons,"61,430"
Stonemasons,"50,170"
Carpenters,"55,190"
"Carpet, Floor, and Tile Installers and Finishers","51,890"
Carpet Installers,"48,710"
"Floor Layers, Except Carpet, Wood, and Hard Tiles","53,880"
Floor Sanders and Finishers,"44,380"
Tile and Stone Setters,"53,330"
"Cement Masons, Concrete Finishers, and Terrazzo Workers","51,000"
Cement Masons and Concrete Finishers,"50,900"
Terrazzo Workers and Finishers,"58,380"
Construction Laborers,"44,130"
Construction Equipment Operators,"55,890"
"Paving, Surfacing, and Tamping Equipment Operators","50,590"
Pile Driver Operators,"75,950"
Operating Engineers and Other Construction Equipment Operators,"56,280"
"Drywall Installers, Ceiling Tile Installers, and Tapers","56,160"
Drywall and Ceiling Tile Installers,"54,810"
Tapers,"65,140"
Electricians,"63,310"
Glaziers,"51,950"
Insulation Workers,"50,300"
"Insulation Workers, Floor, Ceiling, and Wall","44,810"
"Insulation Workers, Mechanical","56,260"
Painters and Paperhangers,"47,180"
"Painters, Construction and Maintenance","47,140"
Paperhangers,"51,560"
"Pipelayers, Plumbers, Pipefitters, and Steamfitters","62,250"
Pipelayers,"48,510"
"Plumbers, Pipefitters, and Steamfitters","63,350"
Plasterers and Stucco Masons,"54,810"
Reinforcing Iron and Rebar Workers,"58,960"
Roofers,"48,890"
Sheet Metal Workers,"58,760"
Structural Iron and Steel Workers,"61,270"
Solar Photovoltaic Installers,"50,710"
"Helpers, Construction Trades","37,340"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","43,370"
Helpers--Carpenters,"37,340"
Helpers--Electricians,"36,720"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","35,270"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","36,350"
Helpers--Roofers,"36,000"
"Helpers, Construction Trades, All Other","37,610"
Other Construction and Related Workers,"54,670"
Construction and Building Inspectors,"68,480"
Elevator and Escalator Installers and Repairers,"91,320"
Fence Erectors,"41,140"
Hazardous Materials Removal Workers,"49,280"
Highway Maintenance Workers,"44,340"
Rail-Track Laying and Maintenance Equipment Operators,"60,770"
Septic Tank Servicers and Sewer Pipe Cleaners,"45,390"
Miscellaneous Construction and Related Workers,"45,370"
Extraction Workers,"51,900"
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas","56,460"
"Derrick Operators, Oil and Gas","52,140"
"Rotary Drill Operators, Oil and Gas","61,840"
"Service Unit Operators, Oil and Gas","55,660"
Surface Mining Machine Operators and Earth Drillers,"51,000"
"Excavating and Loading Machine and Dragline Operators, Surface Mining","49,850"
"Earth Drillers, Except Oil and Gas","53,600"
"Explosives Workers, Ordnance Handling Experts, and Blasters","57,070"
Underground Mining Machine Operators,"57,920"
Continuous Mining Machine Operators,"57,430"
"Roof Bolters, Mining","59,170"
"Loading and Moving Machine Operators, Underground Mining","57,330"
"Underground Mining Machine Operators, All Other","60,290"
"Rock Splitters, Quarry","41,630"
"Roustabouts, Oil and Gas","44,730"
Helpers--Extraction Workers,"40,860"
"Extraction Workers, All Other","50,960"
"Installation, Maintenance, and Repair Occupations","53,380"
"First-Line Supervisors of Mechanics, Installers, and Repairers","73,590"
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers","57,260"
"Computer, Automated Teller, and Office Machine Repairers","44,170"
Radio and Telecommunications Equipment Installers and Repairers,"60,510"
"Radio, Cellular, and Tower Equipment Installers and Repairers","62,500"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","60,350"
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers","59,590"
Avionics Technicians,"69,860"
"Electric Motor, Power Tool, and Related Repairers","48,740"
"Electrical and Electronics Installers and Repairers, Transportation Equipment","70,650"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","64,230"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","87,640"
"Electronic Equipment Installers and Repairers, Motor Vehicles","43,690"
Audiovisual Equipment Installers and Repairers,"46,120"
Security and Fire Alarm Systems Installers,"52,170"
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","50,400"
Aircraft Mechanics and Service Technicians,"69,470"
Automotive Technicians and Repairers,"48,310"
Automotive Body and Related Repairers,"50,660"
Automotive Glass Installers and Repairers,"40,690"
Automotive Service Technicians and Mechanics,"47,990"
Bus and Truck Mechanics and Diesel Engine Specialists,"53,020"
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"55,900"
Farm Equipment Mechanics and Service Technicians,"47,250"
"Mobile Heavy Equipment Mechanics, Except Engines","57,280"
Rail Car Repairers,"60,400"
Small Engine Mechanics,"42,690"
Motorboat Mechanics and Service Technicians,"46,660"
Motorcycle Mechanics,"41,970"
Outdoor Power Equipment and Other Small Engine Mechanics,"40,360"
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","34,340"
Bicycle Repairers,"34,360"
Recreational Vehicle Service Technicians,"44,930"
Tire Repairers and Changers,"32,520"
"Other Installation, Maintenance, and Repair Occupations","50,730"
Control and Valve Installers and Repairers,"59,860"
Mechanical Door Repairers,"45,520"
"Control and Valve Installers and Repairers, Except Mechanical Door","67,310"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","54,690"
Home Appliance Repairers,"45,340"
"Industrial Machinery Installation, Repair, and Maintenance Workers","58,350"
Industrial Machinery Mechanics,"58,780"
"Maintenance Workers, Machinery","53,570"
Millwrights,"61,260"
"Refractory Materials Repairers, Except Brickmasons","54,760"
Line Installers and Repairers,"71,500"
Electrical Power-Line Installers and Repairers,"79,060"
Telecommunications Line Installers and Repairers,"62,250"
Precision Instrument and Equipment Repairers,"54,870"
Camera and Photographic Equipment Repairers,"44,260"
Medical Equipment Repairers,"56,420"
Musical Instrument Repairers and Tuners,"39,740"
Watch and Clock Repairers,"45,460"
"Precision Instrument and Equipment Repairers, All Other","59,070"
"Maintenance and Repair Workers, General","44,920"
Wind Turbine Service Technicians,"58,580"
"Miscellaneous Installation, Maintenance, and Repair Workers","43,710"
"Coin, Vending, and Amusement Machine Servicers and Repairers","42,010"
Commercial Divers,"82,010"
Locksmiths and Safe Repairers,"47,810"
Manufactured Building and Mobile Home Installers,"35,830"
Riggers,"52,100"
Signal and Track Switch Repairers,"74,220"
"Helpers--Installation, Maintenance, and Repair Workers","35,090"
"Installation, Maintenance, and Repair Workers, All Other","45,380"
Production Occupations,"43,070"
First-Line Supervisors of Production and Operating Workers,"67,330"
Assemblers and Fabricators,"39,000"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","55,380"
"Electrical, Electronics, and Electromechanical Assemblers","39,740"
"Coil Winders, Tapers, and Finishers","42,460"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","39,630"
Engine and Other Machine Assemblers,"48,110"
Structural Metal Fabricators and Fitters,"45,730"
Fiberglass Laminators and Fabricators,"40,360"
Timing Device Assemblers and Adjusters,"44,670"
Miscellaneous Assemblers and Fabricators,"37,780"
Food Processing Workers,"33,830"
Bakers,"32,300"
"Butchers and Other Meat, Poultry, and Fish Processing Workers","33,360"
Butchers and Meat Cutters,"35,670"
"Meat, Poultry, and Fish Cutters and Trimmers","31,680"
Slaughterers and Meat Packers,"32,010"
Miscellaneous Food Processing Workers,"35,630"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","36,280"
Food Batchmakers,"36,190"
Food Cooking Machine Operators and Tenders,"35,430"
"Food Processing Workers, All Other","33,600"
Metal Workers and Plastic Workers,"44,840"
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic","42,710"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","40,520"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","44,410"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","46,210"
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic","40,740"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","40,000"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","43,240"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","40,030"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","44,270"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","47,100"
Machinists,"49,020"
"Metal Furnace Operators, Tenders, Pourers, and Casters","45,990"
Metal-Refining Furnace Operators and Tenders,"46,440"
"Pourers and Casters, Metal","44,910"
"Model Makers and Patternmakers, Metal and Plastic","55,740"
"Model Makers, Metal and Plastic","59,080"
"Patternmakers, Metal and Plastic","49,840"
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic","37,720"
Foundry Mold and Coremakers,"39,980"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","37,530"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","40,830"
Tool and Die Makers,"56,150"
"Welding, Soldering, and Brazing Workers","47,910"
"Welders, Cutters, Solderers, and Brazers","48,290"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","42,950"
Miscellaneous Metal Workers and Plastic Workers,"40,940"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","41,560"
"Layout Workers, Metal and Plastic","52,340"
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","38,580"
"Tool Grinders, Filers, and Sharpeners","43,660"
"Metal Workers and Plastic Workers, All Other","39,480"
Printing Workers,"40,660"
Prepress Technicians and Workers,"43,800"
Printing Press Operators,"41,120"
Print Binding and Finishing Workers,"37,060"
"Textile, Apparel, and Furnishings Workers","31,210"
Laundry and Dry-Cleaning Workers,"27,830"
"Pressers, Textile, Garment, and Related Materials","28,110"
Sewing Machine Operators,"30,880"
Shoe and Leather Workers,"32,950"
Shoe and Leather Workers and Repairers,"34,890"
Shoe Machine Operators and Tenders,"29,920"
"Tailors, Dressmakers, and Sewers","34,630"
"Sewers, Hand","31,350"
"Tailors, Dressmakers, and Custom Sewers","35,430"
"Textile Machine Setters, Operators, and Tenders","33,110"
Textile Bleaching and Dyeing Machine Operators and Tenders,"31,940"
"Textile Cutting Machine Setters, Operators, and Tenders","33,100"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","33,640"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","33,050"
"Miscellaneous Textile, Apparel, and Furnishings Workers","39,050"
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","40,600"
Fabric and Apparel Patternmakers,"64,070"
Upholsterers,"38,220"
"Textile, Apparel, and Furnishings Workers, All Other","32,840"
Woodworkers,"37,520"
Cabinetmakers and Bench Carpenters,"40,070"
Furniture Finishers,"37,310"
"Model Makers and Patternmakers, Wood","56,560"
"Model Makers, Wood","60,040"
"Patternmakers, Wood","51,020"
"Woodworking Machine Setters, Operators, and Tenders","35,450"
"Sawing Machine Setters, Operators, and Tenders, Wood","35,280"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","35,560"
"Woodworkers, All Other","36,080"
Plant and System Operators,"66,210"
"Power Plant Operators, Distributors, and Dispatchers","89,410"
Nuclear Power Reactor Operators,"111,220"
Power Distributors and Dispatchers,"95,520"
Power Plant Operators,"83,740"
Stationary Engineers and Boiler Operators,"70,510"
Water and Wastewater Treatment Plant and System Operators,"52,320"
Miscellaneous Plant and System Operators,"72,540"
Chemical Plant and System Operators,"69,020"
Gas Plant Operators,"76,970"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","80,500"
"Plant and System Operators, All Other","55,480"
Other Production Occupations,"41,820"
"Chemical Processing Machine Setters, Operators, and Tenders","50,760"
Chemical Equipment Operators and Tenders,"52,450"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","47,060"
"Crushing, Grinding, Polishing, Mixing, and Blending Workers","41,900"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","42,790"
"Grinding and Polishing Workers, Hand","35,990"
"Mixing and Blending Machine Setters, Operators, and Tenders","42,490"
Cutting Workers,"39,300"
"Cutters and Trimmers, Hand","34,330"
"Cutting and Slicing Machine Setters, Operators, and Tenders","40,010"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","40,050"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","43,910"
"Inspectors, Testers, Sorters, Samplers, and Weighers","44,810"
Jewelers and Precious Stone and Metal Workers,"47,090"
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,"44,770"
Dental Laboratory Technicians,"47,320"
Medical Appliance Technicians,"46,320"
Ophthalmic Laboratory Technicians,"38,910"
Packaging and Filling Machine Operators and Tenders,"36,750"
Painting Workers,"43,480"
"Painting, Coating, and Decorating Workers","38,250"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","43,900"
Semiconductor Processing Technicians,"45,910"
Photographic Process Workers and Processing Machine Operators,"40,300"
Computer Numerically Controlled Tool Operators and Programmers,"48,500"
Computer Numerically Controlled Tool Operators,"46,240"
Computer Numerically Controlled Tool Programmers,"62,360"
Miscellaneous Production Workers,"36,920"
Adhesive Bonding Machine Operators and Tenders,"38,580"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","35,820"
Cooling and Freezing Equipment Operators and Tenders,"42,910"
Etchers and Engravers,"36,970"
"Molders, Shapers, and Casters, Except Metal and Plastic","39,020"
"Paper Goods Machine Setters, Operators, and Tenders","44,180"
Tire Builders,"47,840"
Helpers--Production Workers,"32,910"
"Production Workers, All Other","36,230"
Transportation and Material Moving Occupations,"41,340"
First-Line Supervisors of Transportation and Material Moving Workers,"58,630"
Aircraft Cargo Handling Supervisors,"62,080"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","58,580"
Air Transportation Workers,"119,590"
Aircraft Pilots and Flight Engineers,"169,540"
"Airline Pilots, Copilots, and Flight Engineers","198,190"
Commercial Pilots,"115,080"
Air Traffic Controllers and Airfield Operations Specialists,"100,510"
Air Traffic Controllers,"127,920"
Airfield Operations Specialists,"54,360"
Flight Attendants,"62,280"
Motor Vehicle Operators,"44,330"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","31,060"
Driver/Sales Workers and Truck Drivers,"45,460"
Driver/Sales Workers,"31,970"
Heavy and Tractor-Trailer Truck Drivers,"50,340"
Light Truck Drivers,"42,630"
Passenger Vehicle Drivers,"39,640"
"Bus Drivers, School","38,750"
"Bus Drivers, Transit and Intercity","51,310"
Shuttle Drivers and Chauffeurs,"32,570"
Taxi Drivers,"30,050"
"Motor Vehicle Operators, All Other","36,410"
Rail Transportation Workers,"68,330"
Locomotive Engineers and Operators,"71,410"
Locomotive Engineers,"72,940"
"Rail Yard Engineers, Dinkey Operators, and Hostlers","58,070"
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers","63,050"
Railroad Conductors and Yardmasters,"66,990"
Subway and Streetcar Operators,"71,520"
"Rail Transportation Workers, All Other","54,140"
Water Transportation Workers,"80,780"
Sailors and Marine Oilers,"57,800"
Ship and Boat Captains and Operators,"94,250"
"Captains, Mates, and Pilots of Water Vessels","98,330"
Motorboat Operators,"44,410"
Ship Engineers,"96,910"
Other Transportation Workers,"35,900"
Bridge and Lock Tenders,"44,760"
Parking Attendants,"29,210"
Transportation Service Attendants,"30,810"
Automotive and Watercraft Service Attendants,"29,960"
Aircraft Service Attendants,"38,640"
Traffic Technicians,"53,210"
Transportation Inspectors,"77,620"
Passenger Attendants,"34,380"
"Transportation Workers, All Other","39,990"
Material Moving Workers,"34,900"
Conveyor Operators and Tenders,"37,010"
Crane and Tower Operators,"65,270"
Dredge Operators,"50,530"
Hoist and Winch Operators,"58,450"
Industrial Truck and Tractor Operators,"40,950"
Laborers and Material Movers,"33,570"
Cleaners of Vehicles and Equipment,"30,550"
"Laborers and Freight, Stock, and Material Movers, Hand","34,950"
Machine Feeders and Offbearers,"36,660"
"Packers and Packagers, Hand","30,950"
Stockers and Order Fillers,"33,020"
Pumping Station Operators,"62,590"
Gas Compressor and Gas Pumping Station Operators,"67,130"
"Pump Operators, Except Wellhead Pumpers","54,400"
Wellhead Pumpers,"67,170"
Refuse and Recyclable Material Collectors,"42,780"
"Tank Car, Truck, and Ship Loaders","55,330"
"Material Moving Workers, All Other","40,190"
